timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2024-10-03 19:00:00+02:00,4.4369,4.465,4.38,1563,4.405,520689,4.421759,WULF
2024-10-03 19:30:00+02:00,4.43,4.4566,4.405,1231,4.435,230928,4.42779,WULF
2024-10-03 20:00:00+02:00,4.425,4.45,4.415,1615,4.43,277455,4.429908,WULF
2024-10-03 20:30:00+02:00,4.504,4.51,4.4033,2529,4.425,856271,4.475972,WULF
2024-10-03 21:00:00+02:00,4.62,4.63,4.5,4488,4.505,1471427,4.578418,WULF
2024-10-03 21:30:00+02:00,4.7199,4.72,4.615,7889,4.62,2510010,4.66913,WULF
2024-10-03 22:00:00+02:00,4.71,4.77,4.5,536,4.71,839811,4.690293,WULF
2024-10-03 22:30:00+02:00,4.65,4.65,4.58,205,4.58,54468,4.606387,WULF
2024-10-03 23:00:00+02:00,4.5185,4.71,4.44,394,4.6498,189324,4.550176,WULF
2024-10-03 23:30:00+02:00,4.53,4.55,4.5299,50,4.5486,30769,4.536921,WULF
2024-10-04 00:00:00+02:00,4.5101,4.53,4.5,20,4.53,7392,4.506973,WULF
2024-10-04 00:30:00+02:00,4.56,4.57,4.515,50,4.52,36467,4.540829,WULF
2024-10-04 01:00:00+02:00,4.56,4.59,4.55,22,4.57,5036,4.576924,WULF
2024-10-04 01:30:00+02:00,4.55,4.59,4.54,62,4.57,8598,4.564222,WULF
2024-10-04 10:00:00+02:00,4.6,4.6,4.56,35,4.59,10572,4.59265,WULF
2024-10-04 10:30:00+02:00,4.61,4.65,4.59,40,4.62,7470,4.617292,WULF
2024-10-04 11:00:00+02:00,4.6,4.6,4.6,6,4.6,527,4.6,WULF
2024-10-04 11:30:00+02:00,4.62,4.62,4.62,7,4.62,699,4.62,WULF
2024-10-04 12:00:00+02:00,4.62,4.63,4.62,4,4.63,700,4.626144,WULF
2024-10-04 12:30:00+02:00,4.63,4.63,4.63,1,4.63,100,4.63,WULF
2024-10-04 13:00:00+02:00,4.66,4.66,4.62,42,4.62,11239,4.640602,WULF
2024-10-04 13:30:00+02:00,4.72,4.77,4.68,81,4.68,20987,4.71588,WULF
2024-10-04 14:00:00+02:00,4.68,4.77,4.6,139,4.6201,42219,4.700168,WULF
2024-10-04 14:30:00+02:00,4.75,4.78,4.69,440,4.7,341776,4.7301,WULF
2024-10-04 15:00:00+02:00,4.85,4.87,4.7215,561,4.749,224221,4.793543,WULF
2024-10-04 15:30:00+02:00,4.48,4.86,4.475,10892,4.85,3587768,4.644199,WULF
2024-10-04 16:00:00+02:00,4.405,4.54,4.375,13271,4.48,4039342,4.448472,WULF
2024-10-04 16:30:00+02:00,4.445,4.46,4.355,6091,4.405,1685497,4.403124,WULF
2024-10-04 17:00:00+02:00,4.4544,4.53,4.43,4424,4.45,1399945,4.482722,WULF
2024-10-04 17:30:00+02:00,4.4513,4.48,4.42,2684,4.455,648358,4.449831,WULF
2024-10-04 18:00:00+02:00,4.555,4.59,4.45,5291,4.455,1528728,4.519445,WULF
2024-10-04 18:30:00+02:00,4.515,4.6099,4.51,4659,4.555,1541611,4.560438,WULF
